entry,at,order
"""SIMON @ V_qMu0YYL8"" folds",2021-01-02T05:45:37.762Z,160956633776300
"""CONOR @ UA0JtktTD_"" posts a big blind of 20",2021-01-02T05:40:45.450Z,160956604545507
"""SANJAY @ vrF6WbyhIw"" posts a small blind of 10",2021-01-02T05:40:45.450Z,160956604545506
"Player stacks: #4 ""SIMON @ V_qMu0YYL8"" (1735) | #8 ""SANJAY @ vrF6WbyhIw"" (1615) | #9 ""CONOR @ UA0JtktTD_"" (550)",2021-01-02T05:40:45.450Z,160956604545502
"-- starting hand #87  (No Limit Texas Hold'em) (dealer: ""SIMON @ V_qMu0YYL8"") --",2021-01-02T05:40:45.450Z,160956604545501
"The player ""HARISON @ bLf5mbMF33"" quits the game with a stack of 1480.",2021-01-02T05:40:45.450Z,160956604545500
"""SANJAY @ vrF6WbyhIw"" shows a 6♠, Q♣.",2021-01-02T05:39:55.642Z,160956599564200
"""SIMON @ V_qMu0YYL8"" shows a 10♣, K♣.",2021-01-02T05:39:51.532Z,160956599153300
"""CONOR @ UA0JtktTD_"" shows a 4♠, 4♣.",2021-01-02T05:39:51.170Z,160956599117100
"""HARISON @ bLf5mbMF33"" shows a Q♠, 5♠.",2021-01-02T05:39:51.044Z,160956599104500
"-- ending hand #86 --",2021-01-02T05:39:49.194Z,160956598919502
"""SIMON @ V_qMu0YYL8"" collected 260 from pot",2021-01-02T05:39:49.194Z,160956598919501
"Uncalled bet of 60 returned to ""SIMON @ V_qMu0YYL8""",2021-01-02T05:39:49.194Z,160956598919500
"""HARISON @ bLf5mbMF33"" folds",2021-01-02T05:39:48.384Z,160956598838500
"""SANJAY @ vrF6WbyhIw"" folds",2021-01-02T05:39:41.283Z,160956598128400
"""SIMON @ V_qMu0YYL8"" bets 60",2021-01-02T05:39:40.432Z,160956598043300
"Turn: K♥, 8♥, Q♥ [10♥]",2021-01-02T05:39:31.352Z,160956597135400
"""HARISON @ bLf5mbMF33"" calls 60",2021-01-02T05:39:30.544Z,160956597054500
"""CONOR @ UA0JtktTD_"" folds",2021-01-02T05:39:29.716Z,160956596971700
"""SANJAY @ vrF6WbyhIw"" calls 60",2021-01-02T05:39:28.318Z,160956596831900
"""SIMON @ V_qMu0YYL8"" bets 60",2021-01-02T05:39:24.165Z,160956596416600
"Flop:  [K♥, 8♥, Q♥]",2021-01-02T05:39:17.717Z,160956595771800
"""SANJAY @ vrF6WbyhIw"" checks",2021-01-02T05:39:16.896Z,160956595689700
"""SIMON @ V_qMu0YYL8"" calls 20",2021-01-02T05:39:16.049Z,160956595605000
"""HARISON @ bLf5mbMF33"" calls 20",2021-01-02T05:39:14.641Z,160956595464200
"""CONOR @ UA0JtktTD_"" calls 20",2021-01-02T05:39:11.863Z,160956595186400
"""SANJAY @ vrF6WbyhIw"" posts a big blind of 20",2021-01-02T05:39:07.038Z,160956594704508
"""SIMON @ V_qMu0YYL8"" posts a small blind of 10",2021-01-02T05:39:07.038Z,160956594704507
"Player stacks: #1 ""HARISON @ bLf5mbMF33"" (1560) | #4 ""SIMON @ V_qMu0YYL8"" (1555) | #8 ""SANJAY @ vrF6WbyhIw"" (1695) | #9 ""CONOR @ UA0JtktTD_"" (570)",2021-01-02T05:39:07.038Z,160956594704502
"-- starting hand #86  (No Limit Texas Hold'em) (dealer: ""HARISON @ bLf5mbMF33"") --",2021-01-02T05:39:07.038Z,160956594704501
"The player ""FINN @ TjsSi2aE2P"" quits the game with a stack of 0.",2021-01-02T05:39:07.038Z,160956594704500
"""HARISON @ bLf5mbMF33"" shows a 6♦, 7♣.",2021-01-02T05:39:03.560Z,160956594356100
"""CONOR @ UA0JtktTD_"" shows a 4♥, 5♦.",2021-01-02T05:39:01.677Z,160956594168200
"-- ending hand #85 --",2021-01-02T05:38:57.996Z,160956593800502
"""SANJAY @ vrF6WbyhIw"" collected 275 from pot with Pair, Q's on the second run  (combination: Q♦, Q♠, A♣, 10♥, 6♣)",2021-01-02T05:38:57.996Z,160956593800501
"""SANJAY @ vrF6WbyhIw"" collected 275 from pot with Two Pair, Q's & 4's (combination: Q♦, Q♠, 4♠, 4♦, A♣)",2021-01-02T05:38:57.996Z,160956593800500
"River (second run): A♣, 4♠, Q♠, 10♥ [6♣]",2021-01-02T05:38:54.985Z,160956593499000
"Turn (second run): A♣, 4♠, Q♠ [10♥]",2021-01-02T05:38:51.956Z,160956593196000
"River: A♣, 4♠, Q♠, 4♦ [3♦]",2021-01-02T05:38:48.945Z,160956592896500
"Turn: A♣, 4♠, Q♠ [4♦]",2021-01-02T05:38:45.912Z,160956592592400
"""SANJAY @ vrF6WbyhIw"" shows a 2♦, Q♦.",2021-01-02T05:38:42.903Z,160956592290401
"""FINN @ TjsSi2aE2P"" shows a 3♣, 2♠.",2021-01-02T05:38:42.903Z,160956592290400
"All players in hand choose to run it twice.",2021-01-02T05:38:42.098Z,160956592209901
"""SANJAY @ vrF6WbyhIw"" chooses to  run it twice.",2021-01-02T05:38:42.098Z,160956592209900
"""FINN @ TjsSi2aE2P"" chooses to  run it twice.",2021-01-02T05:38:40.879Z,160956592088000
"Remaining players decide whether to run it twice.",2021-01-02T05:38:38.368Z,160956591836901
"""SIMON @ V_qMu0YYL8"" folds",2021-01-02T05:38:38.368Z,160956591836900
"""HARISON @ bLf5mbMF33"" folds",2021-01-02T05:38:37.533Z,160956591753300
"""CONOR @ UA0JtktTD_"" folds",2021-01-02T05:38:34.879Z,160956591487900
"""SANJAY @ vrF6WbyhIw"" calls 225",2021-01-02T05:38:31.108Z,160956591110900
"""FINN @ TjsSi2aE2P"" bets 225 and go all in",2021-01-02T05:38:29.668Z,160956590966900
"""SIMON @ V_qMu0YYL8"" checks",2021-01-02T05:38:26.805Z,160956590680600
"""HARISON @ bLf5mbMF33"" checks",2021-01-02T05:38:21.498Z,160956590149900
"Flop:  [A♣, 4♠, Q♠]",2021-01-02T05:38:18.466Z,160956589846700
"""SIMON @ V_qMu0YYL8"" checks",2021-01-02T05:38:17.660Z,160956589766100
"""HARISON @ bLf5mbMF33"" calls 20",2021-01-02T05:38:14.314Z,160956589431500
"""CONOR @ UA0JtktTD_"" calls 20",2021-01-02T05:38:13.488Z,160956589348900
"""SANJAY @ vrF6WbyhIw"" calls 20",2021-01-02T05:38:12.648Z,160956589264900
"""FINN @ TjsSi2aE2P"" calls 20",2021-01-02T05:38:11.815Z,160956589181600
"""SIMON @ V_qMu0YYL8"" posts a big blind of 20",2021-01-02T05:38:08.381Z,160956588838208
"""HARISON @ bLf5mbMF33"" posts a small blind of 10",2021-01-02T05:38:08.381Z,160956588838207
"Player stacks: #1 ""HARISON @ bLf5mbMF33"" (1580) | #4 ""SIMON @ V_qMu0YYL8"" (1575) | #6 ""FINN @ TjsSi2aE2P"" (245) | #8 ""SANJAY @ vrF6WbyhIw"" (1390) | #9 ""CONOR @ UA0JtktTD_"" (590)",2021-01-02T05:38:08.381Z,160956588838201
"-- starting hand #85  (No Limit Texas Hold'em) (dealer: ""CONOR @ UA0JtktTD_"") --",2021-01-02T05:38:08.381Z,160956588838200
"""CONOR @ UA0JtktTD_"" shows a 9♥, Q♠.",2021-01-02T05:38:05.708Z,160956588570900
