entry,at,order
"""CONOR @ UA0JtktTD_"" folds",2021-01-04T06:25:07.793Z,160974150779500
"""SIMON @ V_qMu0YYL8"" posts a big blind of 20",2021-01-04T06:19:05.371Z,160974114537308
"""FINN @ TjsSi2aE2P"" posts a small blind of 10",2021-01-04T06:19:05.371Z,160974114537307
"Player stacks: #1 ""LUKE @ e1gbfgFBn7"" (1590) | #2 ""FINN @ TjsSi2aE2P"" (2160) | #3 ""SIMON @ V_qMu0YYL8"" (990) | #9 ""CONOR @ UA0JtktTD_"" (2860)",2021-01-04T06:19:05.371Z,160974114537302
"-- starting hand #111  (No Limit Texas Hold'em) (dealer: ""LUKE @ e1gbfgFBn7"") --",2021-01-04T06:19:05.371Z,160974114537301
"The player ""SANJAY @ vrF6WbyhIw"" stand up with the stack of 1500.",2021-01-04T06:19:05.371Z,160974114537300
"""SIMON @ V_qMu0YYL8"" shows a K♣, K♦.",2021-01-04T06:19:03.510Z,160974114351100
"-- ending hand #110 --",2021-01-04T06:18:58.857Z,160974113885902
"""CONOR @ UA0JtktTD_"" collected 740 from pot with Pair, A's (combination: A♦, A♥, J♥, 10♦, 8♦)",2021-01-04T06:18:58.857Z,160974113885901
"""CONOR @ UA0JtktTD_"" shows a 5♠, A♦.",2021-01-04T06:18:58.857Z,160974113885900
"""SIMON @ V_qMu0YYL8"" calls 60",2021-01-04T06:18:58.052Z,160974113805300
"""CONOR @ UA0JtktTD_"" bets 60",2021-01-04T06:18:39.975Z,160974111997800
"""SIMON @ V_qMu0YYL8"" checks",2021-01-04T06:18:35.317Z,160974111531800
"River: 10♦, 2♦, 8♦, J♥ [A♥]",2021-01-04T06:18:31.138Z,160974111114900
"""CONOR @ UA0JtktTD_"" calls 100",2021-01-04T06:18:30.321Z,160974111032300
"""SIMON @ V_qMu0YYL8"" bets 100",2021-01-04T06:18:29.164Z,160974110916500
"Turn: 10♦, 2♦, 8♦ [J♥]",2021-01-04T06:18:22.957Z,160974110295900
"""FINN @ TjsSi2aE2P"" folds",2021-01-04T06:18:22.148Z,160974110214900
"""LUKE @ e1gbfgFBn7"" folds",2021-01-04T06:18:21.319Z,160974110132000
"""CONOR @ UA0JtktTD_"" calls 60",2021-01-04T06:18:17.950Z,160974109795100
"""SANJAY @ vrF6WbyhIw"" folds",2021-01-04T06:18:16.819Z,160974109682000
"""SIMON @ V_qMu0YYL8"" bets 60",2021-01-04T06:18:15.989Z,160974109599000
"""FINN @ TjsSi2aE2P"" checks",2021-01-04T06:18:12.877Z,160974109287800
"""LUKE @ e1gbfgFBn7"" checks",2021-01-04T06:18:12.048Z,160974109204900
"Flop:  [10♦, 2♦, 8♦]",2021-01-04T06:18:04.694Z,160974108469600
"""FINN @ TjsSi2aE2P"" calls 60",2021-01-04T06:18:03.872Z,160974108387300
"""LUKE @ e1gbfgFBn7"" calls 60",2021-01-04T06:18:03.033Z,160974108303400
"""CONOR @ UA0JtktTD_"" calls 60",2021-01-04T06:18:01.723Z,160974108172300
