entry,at,order
"""CONOR @ UA0JtktTD_"" folds",2020-12-30T07:05:47.551Z,160931194755308
"""SANJAY @ 8EUsXZTe0y"" posts a big blind of 20",2020-12-30T07:05:47.551Z,160931194755307
"""SIMON @ V_qMu0YYL8"" posts a small blind of 10",2020-12-30T07:05:47.551Z,160931194755306
"Your hand is 7♠, A♣, 9♠, 10♦",2020-12-30T07:05:47.551Z,160931194755302
"Player stacks: #4 ""SIMON @ V_qMu0YYL8"" (2000) | #8 ""SANJAY @ 8EUsXZTe0y"" (1760) | #9 ""CONOR @ UA0JtktTD_"" (670) | #10 ""LUKE @ e1gbfgFBn7"" (1570)",2020-12-30T07:05:47.551Z,160931194755301
"-- starting hand #38  (Pot Limit Omaha Hi) (dealer: ""LUKE @ e1gbfgFBn7"") --",2020-12-30T07:05:47.551Z,160931194755300
"""SANJAY @ 8EUsXZTe0y"" shows a 9♣, 5♥, K♣, A♥.",2020-12-30T07:05:45.039Z,160931194503900
"""SIMON @ V_qMu0YYL8"" shows a Q♣, 6♠, 6♦, 8♦.",2020-12-30T07:05:44.584Z,160931194458500
"-- ending hand #37 --",2020-12-30T07:05:43.229Z,160931194323002
"""SANJAY @ 8EUsXZTe0y"" collected 180 from pot",2020-12-30T07:05:43.229Z,160931194323001
"Uncalled bet of 110 returned to ""SANJAY @ 8EUsXZTe0y""",2020-12-30T07:05:43.229Z,160931194323000
"""LUKE @ e1gbfgFBn7"" folds",2020-12-30T07:05:42.421Z,160931194242200
"""SANJAY @ 8EUsXZTe0y"" bets 110",2020-12-30T07:05:41.304Z,160931194130500
"""LUKE @ e1gbfgFBn7"" checks",2020-12-30T07:05:32.178Z,160931193217900
"River: A♠, J♠, 10♣, A♦ [Q♦]",2020-12-30T07:05:28.651Z,160931192865700
"""LUKE @ e1gbfgFBn7"" calls 40",2020-12-30T07:05:27.845Z,160931192784600
"""SANJAY @ 8EUsXZTe0y"" bets 40",2020-12-30T07:05:24.236Z,160931192423700
"""LUKE @ e1gbfgFBn7"" checks",2020-12-30T07:05:19.903Z,160931191990400
"Turn: A♠, J♠, 10♣ [A♦]",2020-12-30T07:05:16.698Z,160931191670100
