entry,at,order
"""LUKE @ e1gbfgFBn7"" folds",2021-01-08T04:38:00.808Z,161008068080900
"""SIMON @ V_qMu0YYL8"" posts a big blind of 20",2021-01-08T04:33:04.260Z,161008038426207
"""LUKE @ e1gbfgFBn7"" posts a small blind of 10",2021-01-08T04:33:04.260Z,161008038426206
"Player stacks: #4 ""LUKE @ e1gbfgFBn7"" (1180) | #5 ""SIMON @ V_qMu0YYL8"" (1410)",2021-01-08T04:33:04.260Z,161008038426203
"-- starting hand #61  (No Limit Texas Hold'em) (dealer: ""LUKE @ e1gbfgFBn7"") --",2021-01-08T04:33:04.260Z,161008038426202
"The player ""AJ @ DU8X52JYCl"" stand up with the stack of 9560.",2021-01-08T04:33:04.260Z,161008038426201
"The player ""SANJAY @ vrF6WbyhIw"" stand up with the stack of 870.",2021-01-08T04:33:04.260Z,161008038426200
"-- ending hand #60 --",2021-01-08T04:32:58.257Z,161008037825803
"""SANJAY @ vrF6WbyhIw"" shows a 7♣, J♥.",2021-01-08T04:32:58.257Z,161008037825802
"""SIMON @ V_qMu0YYL8"" collected 60 from pot with K High (combination: K♣, Q♠, 10♣, 8♣, 6♥)",2021-01-08T04:32:58.257Z,161008037825801
"""SIMON @ V_qMu0YYL8"" shows a 6♥, K♣.",2021-01-08T04:32:58.257Z,161008037825800
"""SIMON @ V_qMu0YYL8"" checks",2021-01-08T04:32:57.449Z,161008037745000
"""SANJAY @ vrF6WbyhIw"" checks",2021-01-08T04:32:53.888Z,161008037388900
"""AJ @ DU8X52JYCl"" folds",2021-01-08T04:32:53.064Z,161008037306500
"River: Q♠, 5♥, 10♣, 2♦ [8♣]",2021-01-08T04:32:48.976Z,161008036898100
"""SIMON @ V_qMu0YYL8"" checks",2021-01-08T04:32:48.163Z,161008036816400
"""SANJAY @ vrF6WbyhIw"" checks",2021-01-08T04:32:43.302Z,161008036330300
"""AJ @ DU8X52JYCl"" checks",2021-01-08T04:32:42.477Z,161008036247700
"Turn: Q♠, 5♥, 10♣ [2♦]",2021-01-08T04:32:40.512Z,161008036051400
"""SIMON @ V_qMu0YYL8"" checks",2021-01-08T04:32:39.704Z,161008035970500
"""SANJAY @ vrF6WbyhIw"" checks",2021-01-08T04:32:36.386Z,161008035638700
"""AJ @ DU8X52JYCl"" checks",2021-01-08T04:32:35.504Z,161008035550400
"Flop:  [Q♠, 5♥, 10♣]",2021-01-08T04:32:31.074Z,161008035107500
"""SANJAY @ vrF6WbyhIw"" checks",2021-01-08T04:32:30.267Z,161008035026800
"""AJ @ DU8X52JYCl"" calls 20",2021-01-08T04:32:28.612Z,161008034861300
"""SIMON @ V_qMu0YYL8"" calls 20",2021-01-08T04:32:26.448Z,161008034644900
"""LUKE @ e1gbfgFBn7"" folds",2021-01-08T04:32:24.898Z,161008034489800
"""SANJAY @ vrF6WbyhIw"" posts a big blind of 20",2021-01-08T04:32:17.537Z,161008033754508
"""AJ @ DU8X52JYCl"" posts a small blind of 10",2021-01-08T04:32:17.537Z,161008033754507
"Player stacks: #4 ""LUKE @ e1gbfgFBn7"" (1180) | #5 ""SIMON @ V_qMu0YYL8"" (1370) | #7 ""AJ @ DU8X52JYCl"" (9580) | #9 ""SANJAY @ vrF6WbyhIw"" (890)",2021-01-08T04:32:17.537Z,161008033754502
"-- starting hand #60  (No Limit Texas Hold'em) (dealer: ""SIMON @ V_qMu0YYL8"") --",2021-01-08T04:32:17.537Z,161008033754501
"The player ""FINN @ TjsSi2aE2P"" quits the game with a stack of 0.",2021-01-08T04:32:17.537Z,161008033754500
"""SANJAY @ vrF6WbyhIw"" shows a 6♦, 6♣.",2021-01-08T04:32:12.572Z,161008033257300
