entry,at,order
"""CONOR @ UA0JtktTD_"" folds",2021-01-03T05:54:55.169Z,160965329517100
"""AJ @ SJVySGD14p"" posts a big blind of 20",2021-01-03T05:49:36.520Z,160965297652108
"""SIMON @ V_qMu0YYL8"" posts a small blind of 10",2021-01-03T05:49:36.520Z,160965297652107
"Player stacks: #1 ""HARISON @ bLf5mbMF33"" (835) | #4 ""SIMON @ V_qMu0YYL8"" (960) | #6 ""AJ @ SJVySGD14p"" (1520) | #8 ""CONOR @ UA0JtktTD_"" (1645) | #10 ""FINN @ TjsSi2aE2P"" (6590)",2021-01-03T05:49:36.520Z,160965297652101
"-- starting hand #131  (No Limit Texas Hold'em) (dealer: ""HARISON @ bLf5mbMF33"") --",2021-01-03T05:49:36.520Z,160965297652100
"-- ending hand #130 --",2021-01-03T05:49:30.488Z,160965297048903
"""AJ @ SJVySGD14p"" shows a 5♠, 5♥.",2021-01-03T05:49:30.488Z,160965297048902
"""FINN @ TjsSi2aE2P"" collected 1800 from pot with Two Pair, A's & Q's (combination: A♣, A♠, Q♣, Q♥, K♦)",2021-01-03T05:49:30.488Z,160965297048901
"""FINN @ TjsSi2aE2P"" shows a K♦, Q♣.",2021-01-03T05:49:30.488Z,160965297048900
"""FINN @ TjsSi2aE2P"" checks",2021-01-03T05:49:29.678Z,160965296967900
"""AJ @ SJVySGD14p"" checks",2021-01-03T05:49:27.034Z,160965296703500
"River: Q♥, 3♦, A♣, A♠ [3♥]",2021-01-03T05:49:23.965Z,160965296397200
"""HARISON @ bLf5mbMF33"" folds",2021-01-03T05:49:23.157Z,160965296315900
"""FINN @ TjsSi2aE2P"" calls 600",2021-01-03T05:49:20.174Z,160965296017500
"""AJ @ SJVySGD14p"" bets 600",2021-01-03T05:49:18.614Z,160965295861500
"""HARISON @ bLf5mbMF33"" checks",2021-01-03T05:49:13.902Z,160965295390300
"Turn: Q♥, 3♦, A♣ [A♠]",2021-01-03T05:49:04.999Z,160965294501800
"""CONOR @ UA0JtktTD_"" folds",2021-01-03T05:49:04.174Z,160965294417500
"""AJ @ SJVySGD14p"" calls 60",2021-01-03T05:49:02.183Z,160965294218400
"""HARISON @ bLf5mbMF33"" calls 60",2021-01-03T05:49:01.308Z,160965294130900
"""FINN @ TjsSi2aE2P"" bets 60",2021-01-03T05:48:57.264Z,160965293726700
"""CONOR @ UA0JtktTD_"" checks",2021-01-03T05:48:54.676Z,160965293467700
"""AJ @ SJVySGD14p"" checks",2021-01-03T05:48:53.303Z,160965293330400
"""HARISON @ bLf5mbMF33"" checks",2021-01-03T05:48:51.546Z,160965293154700
"Flop:  [Q♥, 3♦, A♣]",2021-01-03T05:48:43.499Z,160965292350000
"""SIMON @ V_qMu0YYL8"" folds",2021-01-03T05:48:42.692Z,160965292269300
"""HARISON @ bLf5mbMF33"" calls 100",2021-01-03T05:48:38.799Z,160965291880000
"""FINN @ TjsSi2aE2P"" calls 100",2021-01-03T05:48:37.960Z,160965291796100
"""CONOR @ UA0JtktTD_"" calls 100",2021-01-03T05:48:35.889Z,160965291589000
"""AJ @ SJVySGD14p"" raises to 100",2021-01-03T05:48:34.731Z,160965291473200
"""SIMON @ V_qMu0YYL8"" posts a big blind of 20",2021-01-03T05:48:29.970Z,160965290997108
"""HARISON @ bLf5mbMF33"" posts a small blind of 10",2021-01-03T05:48:29.970Z,160965290997107
"Player stacks: #1 ""HARISON @ bLf5mbMF33"" (995) | #4 ""SIMON @ V_qMu0YYL8"" (980) | #6 ""AJ @ SJVySGD14p"" (2280) | #8 ""CONOR @ UA0JtktTD_"" (1745) | #10 ""FINN @ TjsSi2aE2P"" (5550)",2021-01-03T05:48:29.970Z,160965290997101
"-- starting hand #130  (No Limit Texas Hold'em) (dealer: ""FINN @ TjsSi2aE2P"") --",2021-01-03T05:48:29.970Z,160965290997100
"""AJ @ SJVySGD14p"" shows a 2♦, 4♦.",2021-01-03T05:48:27.340Z,160965290734100
"""SIMON @ V_qMu0YYL8"" shows a 2♣, J♠.",2021-01-03T05:48:25.870Z,160965290587100
"""FINN @ TjsSi2aE2P"" shows a 10♥, 5♦.",2021-01-03T05:48:25.700Z,160965290570100
"""HARISON @ bLf5mbMF33"" shows a 3♥, K♥.",2021-01-03T05:48:25.641Z,160965290564100
"-- ending hand #129 --",2021-01-03T05:48:24.263Z,160965290426402
"""FINN @ TjsSi2aE2P"" collected 180 from pot",2021-01-03T05:48:24.263Z,160965290426401
"Uncalled bet of 180 returned to ""FINN @ TjsSi2aE2P""",2021-01-03T05:48:24.263Z,160965290426400
"""AJ @ SJVySGD14p"" folds",2021-01-03T05:48:23.451Z,160965290345200
"""FINN @ TjsSi2aE2P"" bets 180",2021-01-03T05:48:21.784Z,160965290178500
"River: 8♠, 7♥, 9♣, 7♠ [J♥]",2021-01-03T05:48:17.612Z,160965289762100
"""HARISON @ bLf5mbMF33"" folds",2021-01-03T05:48:16.782Z,160965289678300
"""FINN @ TjsSi2aE2P"" calls 60",2021-01-03T05:48:15.945Z,160965289594600
"""AJ @ SJVySGD14p"" bets 60",2021-01-03T05:48:14.156Z,160965289415800
"""HARISON @ bLf5mbMF33"" checks",2021-01-03T05:48:10.325Z,160965289032500
"""FINN @ TjsSi2aE2P"" checks",2021-01-03T05:48:09.093Z,160965288909400
"Turn: 8♠, 7♥, 9♣ [7♠]",2021-01-03T05:48:05.323Z,160965288532500
"""AJ @ SJVySGD14p"" checks",2021-01-03T05:48:04.511Z,160965288451200
"""HARISON @ bLf5mbMF33"" checks",2021-01-03T05:48:03.628Z,160965288363000
"""FINN @ TjsSi2aE2P"" checks",2021-01-03T05:48:00.776Z,160965288077700
"Flop:  [8♠, 7♥, 9♣]",2021-01-03T05:47:57.364Z,160965287736500
"""HARISON @ bLf5mbMF33"" checks",2021-01-03T05:47:56.559Z,160965287656000
"""FINN @ TjsSi2aE2P"" calls 20",2021-01-03T05:47:54.678Z,160965287467900
"""CONOR @ UA0JtktTD_"" folds",2021-01-03T05:47:53.843Z,160965287384400
"""AJ @ SJVySGD14p"" calls 20",2021-01-03T05:47:52.791Z,160965287279200
"""SIMON @ V_qMu0YYL8"" folds",2021-01-03T05:47:48.157Z,160965286815700
"""HARISON @ bLf5mbMF33"" posts a big blind of 20",2021-01-03T05:47:43.759Z,160965286376008
"""FINN @ TjsSi2aE2P"" posts a small blind of 10",2021-01-03T05:47:43.759Z,160965286376007
"Player stacks: #1 ""HARISON @ bLf5mbMF33"" (1015) | #4 ""SIMON @ V_qMu0YYL8"" (980) | #6 ""AJ @ SJVySGD14p"" (2360) | #8 ""CONOR @ UA0JtktTD_"" (1745) | #10 ""FINN @ TjsSi2aE2P"" (5450)",2021-01-03T05:47:43.759Z,160965286376001
"-- starting hand #129  (No Limit Texas Hold'em) (dealer: ""CONOR @ UA0JtktTD_"") --",2021-01-03T05:47:43.759Z,160965286376000
"-- ending hand #128 --",2021-01-03T05:47:37.706Z,160965285770903
"""HARISON @ bLf5mbMF33"" shows a 10♦, K♦.",2021-01-03T05:47:37.706Z,160965285770902
"""AJ @ SJVySGD14p"" collected 2360 from pot with Straight, A High (combination: A♦, K♥, Q♠, J♦, 10♣)",2021-01-03T05:47:37.706Z,160965285770901
"""AJ @ SJVySGD14p"" shows a 4♠, Q♠.",2021-01-03T05:47:37.706Z,160965285770900
"""HARISON @ bLf5mbMF33"" calls 910",2021-01-03T05:47:36.897Z,160965285689800
"""AJ @ SJVySGD14p"" bets 910 and go all in",2021-01-03T05:47:21.246Z,160965284124700
"""HARISON @ bLf5mbMF33"" checks",2021-01-03T05:47:17.488Z,160965283748900
"River: K♥, 5♥, 10♣, A♦ [J♦]",2021-01-03T05:47:12.681Z,160965283268400
"""HARISON @ bLf5mbMF33"" calls 200",2021-01-03T05:47:11.868Z,160965283187000
"""FINN @ TjsSi2aE2P"" folds",2021-01-03T05:47:10.322Z,160965283032300
"""AJ @ SJVySGD14p"" raises to 200",2021-01-03T05:47:08.631Z,160965282863100
"""HARISON @ bLf5mbMF33"" bets 20",2021-01-03T05:47:05.106Z,160965282510700
"""FINN @ TjsSi2aE2P"" checks",2021-01-03T05:46:59.288Z,160965281928900
"Turn: K♥, 5♥, 10♣ [A♦]",2021-01-03T05:46:56.495Z,160965281649700
"""FINN @ TjsSi2aE2P"" calls 20",2021-01-03T05:46:55.682Z,160965281568300
"""CONOR @ UA0JtktTD_"" folds",2021-01-03T05:46:52.482Z,160965281248300
"""AJ @ SJVySGD14p"" calls 20",2021-01-03T05:46:45.746Z,160965280574700
"""HARISON @ bLf5mbMF33"" bets 20",2021-01-03T05:46:43.739Z,160965280374000
"""FINN @ TjsSi2aE2P"" checks",2021-01-03T05:46:39.603Z,160965279960700
"""CONOR @ UA0JtktTD_"" checks",2021-01-03T05:46:38.775Z,160965279877600
"Flop:  [K♥, 5♥, 10♣]",2021-01-03T05:46:34.428Z,160965279442900
"""FINN @ TjsSi2aE2P"" checks",2021-01-03T05:46:33.620Z,160965279362000
"""CONOR @ UA0JtktTD_"" calls 20",2021-01-03T05:46:32.795Z,160965279279600
"""AJ @ SJVySGD14p"" calls 20",2021-01-03T05:46:31.530Z,160965279153100
"""SIMON @ V_qMu0YYL8"" folds",2021-01-03T05:46:29.670Z,160965278967100
"""HARISON @ bLf5mbMF33"" calls 20",2021-01-03T05:46:26.719Z,160965278672000
"""FINN @ TjsSi2aE2P"" posts a big blind of 20",2021-01-03T05:46:24.497Z,160965278449808
"""CONOR @ UA0JtktTD_"" posts a small blind of 10",2021-01-03T05:46:24.497Z,160965278449807
"Player stacks: #1 ""HARISON @ bLf5mbMF33"" (2165) | #4 ""SIMON @ V_qMu0YYL8"" (980) | #6 ""AJ @ SJVySGD14p"" (1150) | #8 ""CONOR @ UA0JtktTD_"" (1765) | #10 ""FINN @ TjsSi2aE2P"" (5490)",2021-01-03T05:46:24.497Z,160965278449801
"-- starting hand #128  (No Limit Texas Hold'em) (dealer: ""AJ @ SJVySGD14p"") --",2021-01-03T05:46:24.497Z,160965278449800
"""SIMON @ V_qMu0YYL8"" shows a 10♦, J♦.",2021-01-03T05:46:20.076Z,160965278007700
"-- ending hand #127 --",2021-01-03T05:46:17.979Z,160965277798101
"""AJ @ SJVySGD14p"" collected 1150 from pot with Two Pair, K's & 3's (combination: K♣, K♠, 3♦, 3♣, Q♣)",2021-01-03T05:46:17.979Z,160965277798100
"River: 3♦, 3♣, K♠, 6♣ [Q♣]",2021-01-03T05:46:14.956Z,160965277496400
"Turn: 3♦, 3♣, K♠ [6♣]",2021-01-03T05:46:11.938Z,160965277194000
"""AJ @ SJVySGD14p"" shows a K♣, 7♥.",2021-01-03T05:46:08.917Z,160965276891801
"""HARISON @ bLf5mbMF33"" shows a 4♥, 4♦.",2021-01-03T05:46:08.917Z,160965276891800
"""SIMON @ V_qMu0YYL8"" folds",2021-01-03T05:46:08.111Z,160965276811200
"""HARISON @ bLf5mbMF33"" calls 525",2021-01-03T05:46:07.273Z,160965276727400
"""FINN @ TjsSi2aE2P"" folds",2021-01-03T05:46:06.380Z,160965276638100
"""CONOR @ UA0JtktTD_"" folds",2021-01-03T05:46:05.550Z,160965276555100
"""AJ @ SJVySGD14p"" bets 525 and go all in",2021-01-03T05:46:03.996Z,160965276399700
"Flop:  [3♦, 3♣, K♠]",2021-01-03T05:45:59.750Z,160965275975100
"""CONOR @ UA0JtktTD_"" checks",2021-01-03T05:45:58.942Z,160965275894300
"""AJ @ SJVySGD14p"" calls 20",2021-01-03T05:45:57.517Z,160965275751800
"""SIMON @ V_qMu0YYL8"" calls 20",2021-01-03T05:45:56.528Z,160965275652900
"""HARISON @ bLf5mbMF33"" calls 20",2021-01-03T05:45:55.260Z,160965275526100
"""FINN @ TjsSi2aE2P"" calls 20",2021-01-03T05:45:54.420Z,160965275442100
"""CONOR @ UA0JtktTD_"" posts a big blind of 20",2021-01-03T05:45:52.647Z,160965275264808
"""AJ @ SJVySGD14p"" posts a small blind of 10",2021-01-03T05:45:52.647Z,160965275264807
"Player stacks: #1 ""HARISON @ bLf5mbMF33"" (2710) | #4 ""SIMON @ V_qMu0YYL8"" (1000) | #6 ""AJ @ SJVySGD14p"" (545) | #8 ""CONOR @ UA0JtktTD_"" (1785) | #10 ""FINN @ TjsSi2aE2P"" (5510)",2021-01-03T05:45:52.647Z,160965275264801
"-- starting hand #127  (No Limit Texas Hold'em) (dealer: ""SIMON @ V_qMu0YYL8"") --",2021-01-03T05:45:52.647Z,160965275264800
"""CONOR @ UA0JtktTD_"" shows a 8♠, 10♣.",2021-01-03T05:45:46.415Z,160965274641600
"""HARISON @ bLf5mbMF33"" shows a 3♦, 4♥.",2021-01-03T05:45:45.518Z,160965274551900
"""AJ @ SJVySGD14p"" shows a 5♣, 3♣.",2021-01-03T05:45:44.637Z,160965274463700
